"gene_id","entrezgene","ensembl_gene_id","chromosome_name","start_position","end_position"
"4930579F01RIK","67741","ENSMUSG00000012042","3","138164078","138193825"
"4930579G18RIK","","ENSMUSG00000040840","14","54650511","54654607"
"4930579G24RIK","75939","ENSMUSG00000027811","3","79629079","79632820"
"4930579H20RIK","","ENSMUSG00000101636","10","27389866","27397225"
"4930579K19RIK","","ENSMUSG00000051074","9","98562229","98563611"
"4930581F22RIK","","ENSMUSG00000070315","9","35116728","35130922"
"4930583K01RIK","","ENSMUSG00000055159","7","118243865","118245551"
"4930583P06RIK","","ENSMUSG00000086954","2","124217679","124222331"
"4930584F24RIK","","ENSMUSG00000029044","5","26460070","26493314"
"4930586N03RIK","","ENSMUSG00000087097","13","23313525","23385799"
"4930590J08RIK","381798","ENSMUSG00000034063","6","91902809","91950725"
"4930590L20RIK","","ENSMUSG00000102368","1","140570176","140656404"
"4930591A17RIK","","ENSMUSG00000039138","2","179414936","179416882"
"4930593A02RIK","","ENSMUSG00000097725","3","58692589","58797331"
"4930593C16RIK","","ENSMUSG00000086365","9","120924455","120930802"
"4930594C11RIK","","ENSMUSG00000087233;ENSMUSG00000103948","1","37485851;37487193","37488605;37488982"
"4930594O21RIK","","ENSMUSG00000085677","3","37613913","37615276"
"4930595D18RIK","","ENSMUSG00000083193","12","111159850","111184491"
"4930595M18RIK","245492","ENSMUSG00000060673","X","81419575","81458121"
"4930596D02RIK","239036","ENSMUSG00000041068","14","35809488","35811978"
"4930596I21RIK","","ENSMUSG00000104900","1","138977656","138979246"
"4930597A21RIK","","ENSMUSG00000086501","11","44586317","44591229"
"4930598F16RIK","","ENSMUSG00000100777","1","95701184","95716518"
"4930599N23RIK","","ENSMUSG00000073144","6","39118473","39148312"
"4931403E22RIK","","ENSMUSG00000093772","19","26768801","26823907"
"4931403G20RIK","","ENSMUSG00000097329","12","69847635","69853671"
"4931406B18RIK","74054","ENSMUSG00000013353","7","43492044","43505940"
"4931406C07RIK","70984","ENSMUSG00000031938","9","15283337","15306448"
"4931406P16RIK","233103","ENSMUSG00000066571","7","34236707","34313551"
"4931408C20RIK","210940","ENSMUSG00000073722","1","26681814","26687460"
"4931409K22RIK","231045","ENSMUSG00000038199","5","24543432","24556809"
"4931414P19RIK","74359","ENSMUSG00000022179","14","54583663","54605908"
"4931417E11RIK","66740","ENSMUSG00000056197","6","73468573","73469667"
"4931419H13RIK","","ENSMUSG00000106589","3","55055242","55084002"
"4931423N10RIK","70981","ENSMUSG00000026774","2","23207476","23267129"
"4931428F04RIK","74356","ENSMUSG00000014837","8","105280410","105289528"
"4931428L18RIK","","ENSMUSG00000086727","1","31135226","31222684"
"4931429I11RIK","70989","ENSMUSG00000032023","9","40894849","40964118"
"4931429L15RIK","74361","ENSMUSG00000056617","9","46303361","46319986"
"4931429P17RIK","","ENSMUSG00000047324","13","47960330","48018608"
"4931431C16RIK","","ENSMUSG00000055061","5","35581227","35588763"
"4931431F19RIK","70980","ENSMUSG00000055643","7","104127912","104129826"
"4931440F15RIK","216622","ENSMUSG00000078157","11","29822395","29825668"
"4931440J10RIK","","ENSMUSG00000097775","14","62760501","62830126"
"4931440P22RIK","","ENSMUSG00000074580","3","65507257","65529379"
"4932411E22RIK","214604","ENSMUSG00000047490","11","89390223","89418948"
"4932411N23RIK","237029","ENSMUSG00000058670","X","126812462","126815868"
"4932412D23RIK","","ENSMUSG00000075070","16","42725702","42875762"
"4932413F04RIK","","ENSMUSG00000099616","9","103557090","103565891"
"4932414J04RIK","","ENSMUSG00000078962","11","21494730","21511178"
"4932414N04RIK","75721","ENSMUSG00000079324","2","68656486","68748467"
"4932415M13RIK","","ENSMUSG00000098834","17","53723690","53724383"
"4932416K20RIK","","ENSMUSG00000069925","8","104795237","104798792"
"4932418E24RIK","329366","ENSMUSG00000048038","2","26271646","26294557"
"4932429P05RIK","245509","ENSMUSG00000079513","X","89752268","89755491"
"4932435O22RIK","","ENSMUSG00000062391","11","114413401","114448860"
"4932438A13RIK","229227","ENSMUSG00000037270","3","36863104","37053033"
"4932438H23RIK","74387","ENSMUSG00000039851","16","91053935","91095122"
"4932441J04RIK","","ENSMUSG00000097216","5","57570082","57720201"
"4932443I19RIK","403185","ENSMUSG00000090336","8","13705889","13743066"
"4932702P03RIK","","ENSMUSG00000086796","13","24905593","24914272"
"4933400A11RIK","","ENSMUSG00000055357","X","169776257","169779635"
"4933400C23RIK","","ENSMUSG00000101734","9","92717456","92795711"
"4933400F21RIK","","ENSMUSG00000102009","1","89650529","89683908"
"4933401B06RIK","","ENSMUSG00000055700","X","107542582","107543800"
"4933401H06RIK","","ENSMUSG00000106306","3","135833701","135840269"
"4933402C06RIK","","ENSMUSG00000102004","7","40674737","40691260"
"4933402D24RIK","74426","ENSMUSG00000025961","1","63754907","63769267"
"4933402E13RIK","74437","ENSMUSG00000045330","X","62283499","62292078"
"4933402J07RIK","330820","ENSMUSG00000069971","8","87563853","87589424"
"4933402J10RIK","","ENSMUSG00000106013","5","59963119","59986004"
"4933402N03RIK","233918","ENSMUSG00000013668","7","131137713","131146314"
"4933402N22RIK","545732","ENSMUSG00000067848","5","11918043","11922821"
"4933402P03RIK","108803","ENSMUSG00000044084","11","69816566","69818465"
"4933403O08RIK","71030","ENSMUSG00000079460","X","112239049","112243852"
"4933404K08RIK","","ENSMUSG00000085122","13","23278350","23282267"
"4933404O12RIK","","ENSMUSG00000097908","5","136919146","136937112"
"4933405D12RIK","","ENSMUSG00000097852","3","122864737","122924116"
"4933405E24RIK","","ENSMUSG00000086209","11","54177772","54213285"
"4933405L10RIK","71046","ENSMUSG00000013158","8","105708291","105710244"
"4933405O20RIK","243996","ENSMUSG00000084234","7","50599190","50600530"
"4933406C10RIK","","ENSMUSG00000097494","12","32919384","32953789"
"4933406D12RIK","","ENSMUSG00000085796","2","146542931","146546108"
"4933406F09RIK","","ENSMUSG00000090585","14","7412460","7508369"
"4933406G16RIK","","ENSMUSG00000086025","11","19065276","19075740"
"4933406I18RIK","","ENSMUSG00000087475","7","114315479","114415161"
"4933406J08RIK","74401","ENSMUSG00000027229","2","122186272","122206397"
"4933406J10RIK","","ENSMUSG00000086690","7","82743368","82755644"
"4933406K04RIK","","ENSMUSG00000085820","12","106685607","106716362"
"4933406M09RIK","240755","ENSMUSG00000050526","1","134385940","134390981"
"4933407E24RIK","","ENSMUSG00000073759","4","124569190","124574645"
"4933407K13RIK","","ENSMUSG00000087396","X","75706932","75764699"
"4933407L21RIK","","ENSMUSG00000026224","1","85928483","85940624"
"4933408B17RIK","271508","ENSMUSG00000049357","18","34579846","34597468"
"4933408J17RIK","","ENSMUSG00000097407","10","93589413","93605245"
"4933408N05RIK","","ENSMUSG00000084848","8","114341160","114351479"
"4933409G03RIK","227998","ENSMUSG00000053896","2","68582413","68616387"
"4933411G06RIK","","ENSMUSG00000062224","10","51756173","51757194"
"4933411K16RIK","66765","ENSMUSG00000090369","19","42052248","42053627"
"4933412E24RIK","71088","ENSMUSG00000071749","15","60014866","60016618"
"4933413G19RIK","71149","ENSMUSG00000079304","6","128375456","128385144"
"4933413J09RIK","","ENSMUSG00000021874","14","26356574","26400456"
"4933413L06RIK","","ENSMUSG00000079048","13","117706764","117720011"
"4933415F23RIK","66755","ENSMUSG00000073730","1","23100473","23102253"
"4933416C03RIK","619332","ENSMUSG00000074734","10","116111664","116113917"
"4933416E03RIK","","ENSMUSG00000085198","2","159947341","159981288"
"4933416I08RIK","","ENSMUSG00000071763","X","53686637","53690919"
"4933416M07RIK","","ENSMUSG00000097262","8","27142910","27149671"
"4933417A18RIK","66761","ENSMUSG00000021415","13","34924409","34955875"
"4933417D19RIK","","ENSMUSG00000097637","8","123235091","123242359"
"4933417E11RIK","","ENSMUSG00000101848","1","71958998","72005195"
"4933417G07RIK","","ENSMUSG00000106572","3","55847105","55848400"
"4933417O13RIK","","ENSMUSG00000101360","7","143322775","143330650"
"4933421I07RIK","71162","ENSMUSG00000030463","7","42445462","42448120"
"4933421O10RIK","","ENSMUSG00000085037","4","33027142","33031323"
"4933424G06RIK","","ENSMUSG00000102416","1","36710203","36746571"
"4933425L06RIK","66763","ENSMUSG00000021718","13","105082122","105121782"
"4933427D06RIK","232217","ENSMUSG00000055403","6","88950683","89110031"
"4933427D14RIK","74477","ENSMUSG00000020807","11","72153929","72207459"
"4933427E11RIK","","ENSMUSG00000044276","15","74709161","74710374"
"4933427E13RIK","","ENSMUSG00000033015","11","25232626","25367137"
"4933427G17RIK","74466","ENSMUSG00000030877","7","120982509","121014787"
"4933427I22RIK","","ENSMUSG00000085928","4","139926111","139943519"
"4933428C19RIK","","ENSMUSG00000086355","4","40482840","40525548"
"4933428G20RIK","100141474","ENSMUSG00000047988","11","97490783","97500340"
"4933430I17RIK","214106","ENSMUSG00000058046","4","62525369","62547993"
"4933430M04RIK","","ENSMUSG00000086892","11","24481909","24569952"
"4933431E20RIK","","ENSMUSG00000086968","3","107888850","107896213"
"4933433C11RIK","74472","ENSMUSG00000036770","2","25212207","25214637"
"4933433F19RIK","","ENSMUSG00000097044","8","30568393","30575573"
"4933433G15RIK","","ENSMUSG00000097021","9","75410184","75417709"
"4933434E20RIK","73545;99650","ENSMUSG00000027942","3","90051636","90068347"
"4933436E23RIK","","ENSMUSG00000103844","1","139379452","139402852"
"4933436I01RIK","66780","ENSMUSG00000025288","X","67919864","67921450"
"4933438B17RIK","","ENSMUSG00000105490","5","127027377","127088529"
"4933438K21RIK","","ENSMUSG00000093617","4","147063366","147068436"
"4933439C10RIK","","ENSMUSG00000072893","11","59505662","59513647"
"4933439K11RIK","","ENSMUSG00000085184","1","172538133","172558129"
"4933440J02RIK","","ENSMUSG00000097082","10","111586719","111594273"
"4933440M02RIK","","ENSMUSG00000045928","7","125284025","125349788"
"5031410I06RIK","381622","ENSMUSG00000051940","5","26098668","26105362"
"5031414D18RIK","271221","ENSMUSG00000034959","14","75016027","75052532"
"5031425E22RIK","","ENSMUSG00000073147","5","23382308","23434269"
"5031425F14RIK","","ENSMUSG00000085129","2","166447451","166459232"
"5031434C07RIK","","ENSMUSG00000044574","6","112285593","112288837"
"5031434O11RIK","","ENSMUSG00000097885","3","51560035","51567117"
"5031439G07RIK","223739","ENSMUSG00000036046","15","84943936","84988551"
"5033403F01RIK","","ENSMUSG00000096932","13","38960619","38966299"
"5033403H07RIK","","ENSMUSG00000106352","5","52973012","52994436"
"5033404E19RIK","","ENSMUSG00000102185","1","185487294","185498159"
"5033428I22RIK","","ENSMUSG00000097910","8","57332118","57340682"
"5330411J11RIK","","ENSMUSG00000087455","2","59382502","59387471"
"5330413P13RIK","","ENSMUSG00000086822","2","131820006","131847660"
"5330417C22RIK","229722","ENSMUSG00000040412","3","108455694","108536536"
"5330434G04RIK","","ENSMUSG00000087620","X","105348282","105391776"
"5330439B14RIK","","ENSMUSG00000104234","6","142614595","142626462"
"5430401F13RIK","71392","ENSMUSG00000094113","6","131486400","131553763"
"5430402E10RIK","71351","ENSMUSG00000044121","X","77919786","77925062"
"5430402O13RIK","","ENSMUSG00000085776","6","50566643","50594865"
"5430405H02RIK","","ENSMUSG00000085741","2","156844351","156862963"
"5430416N02RIK","","ENSMUSG00000097772","5","100420842","100429535"
"5430416O09RIK","","ENSMUSG00000028475","4","43730034","43734534"
"5430419D17RIK","71395","ENSMUSG00000006204","7","131174402","131250945"
"5430421N21RIK","100126226","ENSMUSG00000067613","15","101485131","101491512"
"5430427M07RIK","","ENSMUSG00000085004","12","91050369","91079907"
"5430427O19RIK","71398","ENSMUSG00000025058","X","85870354","85891499"
"5430434I15RIK","","ENSMUSG00000106002","3","38203151","38208119"
"5530400C23RIK","232426","ENSMUSG00000055594","6","133292216","133295792"
"5530401A14RIK","","ENSMUSG00000020703","11","81860673","81894582"
"5530601H04RIK","","ENSMUSG00000087174","X","105037197","105079609"
"5730403I07RIK","","ENSMUSG00000099170","9","77366412","77399418"
"5730405O15RIK","","ENSMUSG00000087424","X","13042015","13045297"
"5730409E04RIK","230757","ENSMUSG00000073755","4","126609818","126614371"
"5730412P04RIK","","ENSMUSG00000087553","X","136104603","136115420"
"5730416F02RIK","","ENSMUSG00000081793","X","109001485","109002296"
"5730420D15RIK","","ENSMUSG00000097766","10","95417375","95428640"
"5730422E09RIK","","ENSMUSG00000097191","5","149119565","149184063"
"5730435O14RIK","","ENSMUSG00000091370","10","41568016","41576476"
"5730455P16RIK","70591","ENSMUSG00000057181","11","80360492","80378034"
"5730457N03RIK","","ENSMUSG00000086126","6","52308389","52314832"
"5730460C07RIK","","ENSMUSG00000062046","3","153789305","153792087"
"5730488B01RIK","","ENSMUSG00000103995","4","44702800","44705110"
"5730507C01RIK","236366","ENSMUSG00000073197","12","18514738","18534191"
"5730508B09RIK","70617","ENSMUSG00000050549","3","127869058","127896324"
"5730522E02RIK","","ENSMUSG00000032985","11","25602763","26210763"
"5730559C18RIK","67313","ENSMUSG00000041605","1","136213531","136234264"
"5830411N06RIK","244234","ENSMUSG00000054672","7","140247301","140299791"
"5830415F09RIK","74753","ENSMUSG00000028331","4","46376505","46389437"
"5830416I19RIK","","ENSMUSG00000106219","5","64044978","64050228"
"5830417I10RIK","","ENSMUSG00000078684","3","88775216","88825587"
"5830418P13RIK","","ENSMUSG00000086236","9","103423578","103461260"
"5830432E09RIK","","ENSMUSG00000097471","7","135635931","135652314"
"5830444B04RIK","","ENSMUSG00000084803","4","155398763","155421704"
"5830454E08RIK","","ENSMUSG00000052658","9","120577346","120578072"
"5830473C10RIK","622307","ENSMUSG00000070690","5","90561107","90597871"
"5930412G12RIK","","ENSMUSG00000072591","5","128579106","128600693"
"5930430L01RIK","","ENSMUSG00000106951","5","148990056","148995223"
"6030407O03RIK","","ENSMUSG00000100301","1","73618088","73864466"
"6030408B16RIK","","ENSMUSG00000075408","15","101293212","101297426"
"6030419C18RIK","319477","ENSMUSG00000066607","9","58488603","58499742"
"6030443J06RIK","","ENSMUSG00000097207","5","22550432","22807850"
"6030458C11RIK","77877","ENSMUSG00000022195","15","12808177","12824657"
"6030468B19RIK","77727","ENSMUSG00000025573","11","117797660","117807301"
"6030469F06RIK","","ENSMUSG00000095953","12","31184623","31185177"
"6030471H07RIK","","ENSMUSG00000085217","4","84042039","84044879"
"6030498E09RIK","77883","ENSMUSG00000051361","X","38772671","38962686"
"6230400D17RIK","","ENSMUSG00000097577","14","20687236","20703012"
"6330403A02RIK","381310","ENSMUSG00000053963","1","180432387","180483504"
"6330403K07RIK","","ENSMUSG00000018451","11","71031941","71033513"
"6330408A02RIK","321008","ENSMUSG00000070814","7","13258967","13278721"
"6330409D20RIK","70730","ENSMUSG00000009551","2","32732620","32741016"
"6330410L21RIK","","ENSMUSG00000105960","3","129753758","129763884"
"6330416G13RIK","230279","ENSMUSG00000045917","4","63558781","63586357"
"6330418K02RIK","","ENSMUSG00000085227","5","138264043","138266661"
"6330549D23RIK","","ENSMUSG00000045327","3","96606659","96629820"
"6430503K07RIK","","ENSMUSG00000053545","2","147187424","147188407"
"6430531B16RIK","381933","ENSMUSG00000073795","7","139972303","139978755"
"6430548M08RIK","234797","ENSMUSG00000031824","8","120114152","120165306"
"6430550D23RIK","320095","ENSMUSG00000074646","2","155973279","156007977"
"6430562O15RIK","","ENSMUSG00000097828","13","99396924","99412864"
"6430571L13RIK","235599","ENSMUSG00000037977","9","107340602","107352422"
"6430573F11RIK","319582","ENSMUSG00000039620","8","36457548","36514320"
"6430710C18RIK","","ENSMUSG00000085427","2","72745846","72813717"
"6530402F18RIK","","ENSMUSG00000079499","2","29245107","29253006"
"6530403H02RIK","","ENSMUSG00000098097","3","120604109","120886733"
"6530411M01RIK","","ENSMUSG00000097049","17","9147719","9167836"
"6720483E21RIK","","ENSMUSG00000097934","1","20888650","20890473"
"6720489N17RIK","211378","ENSMUSG00000072066","13","62603013","62624182"
"6820408C15RIK","228778","ENSMUSG00000032680","2","152415587","152444330"
"6820431F20RIK","","ENSMUSG00000071796","8","20262613","20297432"
"7420426K07RIK","546157","ENSMUSG00000074123","9","98903119","98904622"
"7420461P10RIK","100038657","ENSMUSG00000091060","1","162647193","162658219"
"7530416G11RIK","328577","ENSMUSG00000096607","15","85492736","85503227"
"7630403G23RIK","","ENSMUSG00000098758","9","34042369","34059019"
"8030411F24RIK","78609","ENSMUSG00000027444","2","148782009","148785937"
"8030423F21RIK","","ENSMUSG00000052295","5","52607550","52619012"
"8030423J24RIK","77166","ENSMUSG00000021600","13","70882948","70884503"
"8030442B05RIK","","ENSMUSG00000102674","2","11338366","11398501"
"8030443G20RIK","","ENSMUSG00000086483","4","108942843","108972077"
"8030462N17RIK","212163","ENSMUSG00000047466","18","77633281","77714010"
"8430408G22RIK","213393","ENSMUSG00000048489","6","116650609","116652794"
"8430423G03RIK","","ENSMUSG00000079069","5","148950250","148951658"
"8430429K09RIK","","ENSMUSG00000034587","11","3452365","3479831"
"8430436N08RIK","","ENSMUSG00000086070","4","7560688","7573801"
"8430437L04RIK","","ENSMUSG00000085252","2","72703510","72729468"
"9030204H09RIK","","ENSMUSG00000086449","2","35819190","35823385"
"9030612E09RIK","","ENSMUSG00000045008","10","43174704","43176562"
"9030617O03RIK","217830","ENSMUSG00000021185","12","100779057","100896981"
"9030619P08RIK","","ENSMUSG00000053168","15","75427606","75431829"
"9030624G23RIK","66808;668588;100042698;101056074;102637839;102639021;102641157;105242446;105245381","ENSMUSG00000073158","12","24044701","24096968"
"9030624J02RIK","71517","ENSMUSG00000030982","7","118740226","118842966"
"9130008F23RIK","71583","ENSMUSG00000054951","17","40875482","40880558"
"9130011E15RIK","71617","ENSMUSG00000039901","19","45818144","45998488"
"9130015L21RIK","","ENSMUSG00000086653","2","160016653","160040619"
"9130019O22RIK","78921","ENSMUSG00000030823","7","127382260","127387166"
"9130019P16RIK","","ENSMUSG00000073067","6","54269681","54430221"
"9130023H24RIK","100043133","ENSMUSG00000062944","7","128234458","128238031"
"9130024F11RIK","","ENSMUSG00000087022","1","56971412","57050084"
"9130204L05RIK","229550","ENSMUSG00000091175","3","91088137","91090803"
"9130221H12RIK","","ENSMUSG00000090330","7","25228687","25230263"
"9130227L01RIK","","ENSMUSG00000099950","1","55931241","55972328"
"9130230L23RIK","","ENSMUSG00000054598","5","65979358","66004285"
"9130401M01RIK","75758","ENSMUSG00000101892","15","58022259","58034325"
"9130409I23RIK","619326","ENSMUSG00000038768","1","181051237","181060667"
"9130409J20RIK","","ENSMUSG00000085683","11","66956653","66965016"
"9230009I02RIK","","ENSMUSG00000072982","11","51085087","51091833"
"9230102O04RIK","","ENSMUSG00000079602","2","9883041","9889540"
"9230104L09RIK","77705","ENSMUSG00000027446","2","148846711","148865038"
"9230105E05RIK","","ENSMUSG00000090191","10","120389523","120392793"
"9230110C19RIK","234912","ENSMUSG00000053070","9","8021672","8042823"
"9230110F15RIK","77080","ENSMUSG00000047980","9","35838329","35844150"
"9230112D13RIK","78243","ENSMUSG00000021797","14","34511619","34522801"
"9230114K14RIK","","ENSMUSG00000097145","5","52190672","52279034"
"9230116N13RIK","","ENSMUSG00000097403","1","136411916","136415519"
"9230117E06RIK","","ENSMUSG00000089874","16","22511480","22517681"
"9330020H09RIK","","ENSMUSG00000091050","15","98567324","98569583"
"9330111N05RIK","","ENSMUSG00000097098","13","80962888","81128864"
"9330133O14RIK","","ENSMUSG00000103515","8","122443656","122445647"
"9330136K24RIK","","ENSMUSG00000097781","17","21528194","21535878"
"9330151L19RIK","","ENSMUSG00000097061","12","69197211","69199868"
"9330158H04RIK","","ENSMUSG00000073154","6","36209620","36390191"
"9330159F19RIK","212448","ENSMUSG00000004360","10","29211643","29230779"
"9330159M07RIK","","ENSMUSG00000097177","9","88840236","88858870"
"9330162012RIK","","ENSMUSG00000086448","13","24937401","24941417"
"9330162B11RIK","","ENSMUSG00000103577","1","188006576","188008990"
"9330175E14RIK","","ENSMUSG00000097194","8","94422899","94435105"
"9330175M20RIK","","ENSMUSG00000101799","1","51218386","51333779"
"9330178D15RIK","","ENSMUSG00000104553","3","155976354","156008592"
"9330179D12RIK","","ENSMUSG00000097166","6","127149389","127212411"
"9330182L06RIK","231014","ENSMUSG00000056004","5","9266118","9481825"
"9330182O14RIK","328531","ENSMUSG00000094112","15","40142188","40148689"
"9430007A20RIK","381572","ENSMUSG00000028593","4","144519822","144529353"
"9430015G10RIK","230996","ENSMUSG00000059939","4","156109982","156127265"
"9430016H08RIK","68115","ENSMUSG00000025971","1","57406328","57417953"
"9430020K01RIK","240185","ENSMUSG00000033960","18","4634929","4682868"
"9430021M05RIK","","ENSMUSG00000054457","2","162661163","162667109"
"9430037G07RIK","","ENSMUSG00000097073","9","88595325","88599516"
"9430038I01RIK","77252","ENSMUSG00000040139","7","137375574","137410762"
"9430041J12RIK","","ENSMUSG00000086155","7","4074125","4120728"
"9430060I03RIK","","ENSMUSG00000100632","1","92933526","92950590"
"9430065F17RIK","","ENSMUSG00000097360","13","67553234","67564009"
"9430069I07RIK","77358","ENSMUSG00000094447","15","34349176","34356421"
"9430091E24RIK","","ENSMUSG00000084808","8","111128886","111145480"
"9530002B09RIK","77432","ENSMUSG00000023263","4","122689275","122705129"
"9530003J23RIK","77397","ENSMUSG00000020177","10","117232237","117238703"
"9530026F06RIK","","ENSMUSG00000085447","1","61378432","61395904"
"9530026P05RIK","","ENSMUSG00000097462","6","92940329","93272979"
"9530027J09RIK","","ENSMUSG00000097197","X","48276792","48285426"
"9530036O11RIK","","ENSMUSG00000097726","5","28458274","28933995"
"9530051G07RIK","","ENSMUSG00000085982","X","153037629","153072915"
"9530052E02RIK","","ENSMUSG00000096938","8","11007850","11054541"
"9530053A07RIK","319482","ENSMUSG00000078776","7","28129466","28164811"
"9530059O14RIK","","ENSMUSG00000097736","9","122572497","122679596"
"9530068E07RIK","213673","ENSMUSG00000036275","11","52396428","52408728"
"9530077C05RIK","68283","ENSMUSG00000036411","9","22411577","22444677"
"9530080O11RIK","","ENSMUSG00000044125","4","95959715","95967655"
"9530082P21RIK","","ENSMUSG00000097006","17","23743234","23754065"
"9630001P10RIK","","ENSMUSG00000097825","5","45638699","45645469"
"9630013K17RIK","","ENSMUSG00000086359","11","63964226","63968040"
"9630028B13RIK","","ENSMUSG00000051295","1","185429357","185441819"
"9630028H03RIK","","ENSMUSG00000085631","2","135325447","135583584"
"9830107B12RIK","328829","ENSMUSG00000073386","17","48125605","48146307"
"9830132P13RIK","","ENSMUSG00000104763","3","127916172","127955220"
"9830147E19RIK","208111","ENSMUSG00000074158","7","42609526","42642588"
"9930012K11RIK","268759","ENSMUSG00000044551","14","70154405","70159502"
"9930014A18RIK","","ENSMUSG00000097493","15","60822271","60831793"
"9930021J03RIK","240613","ENSMUSG00000046138","19","29714402","29805989"
"9930104L06RIK","","ENSMUSG00000044730","4","124937048","124944656"
"9930111H07RIK","","ENSMUSG00000100217","1","85775271","85784694"
"9930111J21RIK1","667214","ENSMUSG00000069893","11","48946150","48979398"
"9930111J21RIK2","245240","ENSMUSG00000069892","11","49015874","49051242"
"A","50518","ENSMUSG00000027596","2","154791402","155051012"
"A130010J15RIK","319266","ENSMUSG00000079144","1","193168046","193177832"
"A1BG","117586","ENSMUSG00000022347","15","60917589","60921270"
"A1CF","69865","ENSMUSG00000052595","19","31868761","31949406"
"A230001M10RIK","","ENSMUSG00000105891","3","102262405","102445132"
"A230009B12RIK","","ENSMUSG00000089633","17","10456216","10493055"
"A230020J21RIK","","ENSMUSG00000097845","1","191025350","191029781"
"A230028O05RIK","","ENSMUSG00000096960","16","25059639","25069058"
"A230046K03RIK","319277","ENSMUSG00000034560","10","83543941","83596469"
"A230050P20RIK","319278","ENSMUSG00000038884","9","20868642","20874307"
"A230056P14RIK","","ENSMUSG00000087178","7","55962531","55980868"
"A230065H16RIK","380787","ENSMUSG00000087075","12","111406809","111412077"
"A230072C01RIK","","ENSMUSG00000086877","X","20961684","20986737"
"A230072E10RIK","","ENSMUSG00000084771","X","151291974","151344846"
"A230077H06RIK","","ENSMUSG00000100600","7","40818476","40900937"
"A230103J11RIK","","ENSMUSG00000087026","8","85053160","85060460"
"A230108P19RIK","","ENSMUSG00000087125","2","6193251","6321611"
"A2M","232345","ENSMUSG00000030111","6","121635376","121679227"
"A330009N23RIK","","ENSMUSG00000097915","15","101221196","101224121"
"A330015K06RIK","","ENSMUSG00000104093","3","65133060","65302685"
"A330023F24RIK","","ENSMUSG00000096929","1","194976375","195037904"
"A330032B11RIK","","ENSMUSG00000097591","19","37173843","37196541"
"A330033J07RIK","","ENSMUSG00000097622","13","48044231","48262623"
"A330035P11RIK","","ENSMUSG00000085615","14","122103430","122106974"
"A330040F15RIK","","ENSMUSG00000086213","19","12585868","12596566"
"A330041J22RIK","","ENSMUSG00000087466","9","86695460","86701253"
"A330048O09RIK","","ENSMUSG00000097326","13","48272416","48273884"
"A330050F15RIK","320722","ENSMUSG00000091636","17","69439326","69489233"
"A330069E16RIK","","ENSMUSG00000097868","2","91237146","91238352"
"A330070K13RIK","381673","ENSMUSG00000052014","5","130378778","130384631"
"A330074K22RIK","","ENSMUSG00000097960","8","120204434","120228230"
"A330093E20RIK","","ENSMUSG00000098284","18","45683487","45896509"
"A330102I10RIK","","ENSMUSG00000086363","13","29014399","29040336"
"A3GALT2","215493","ENSMUSG00000028794","4","128755364","128769298"
"A430005L14RIK","97159","ENSMUSG00000047613","4","153957237","153961925"
"A430033K04RIK","243308","ENSMUSG00000056014","5","138622859","138652414"
"A430035B10RIK","","ENSMUSG00000087305","6","8488795","8510430"
"A430046D13RIK","","ENSMUSG00000097353","10","128499364","128504242"
"A430078G23RIK","319493","ENSMUSG00000074497","8","3353415","3390295"
"A430078I02RIK","","ENSMUSG00000085589","6","86470277","86480830"
"A430093F15RIK","","ENSMUSG00000067577","19","10740947","10786043"
"A430105I19RIK","214239","ENSMUSG00000045838","2","118754158","118762661"
"A4GALT","239559","ENSMUSG00000047878","15","83226726","83251774"
"A4GNT","333424","ENSMUSG00000037953","9","99612502","99622367"
"A530006G24RIK","","ENSMUSG00000051986","2","147710693","147717632"
"A530013C23RIK","","ENSMUSG00000006462","2","167691177","167729172"
"A530016L24RIK","319942","ENSMUSG00000043122","12","112489448","112499927"
"A530032D15RIK","381287","ENSMUSG00000089844","1","85083069","85109853"
"A530053G22RIK","","ENSMUSG00000046764","6","60279043","60403707"
"A530058N18RIK","","ENSMUSG00000087694;ENSMUSG00000092201","2","114013563;114013602","114032292;114068324"
"A530064D06RIK","328830","ENSMUSG00000043939","17","48151896","48167270"
"A530072M11RIK","","ENSMUSG00000085112","4","16164110","16266225"
"A530099J19RIK","319293","ENSMUSG00000047462","13","19727417","19732951"
"A630001G21RIK","319997","ENSMUSG00000052760","1","85717083","85778643"
"A630010A05RIK","","ENSMUSG00000075395","16","14562316","14621300"
"A630012P03RIK","","ENSMUSG00000055110","X","52575843","52619047"
"A630023A22RIK","105518","ENSMUSG00000095493","14","34051132","34102754"
"A630023P12RIK","","ENSMUSG00000048215","5","110514923","110525980"
"A630033H20RIK","213438","ENSMUSG00000054293","X","107148927","107173661"
"A630072M18RIK","","ENSMUSG00000101013","5","20950989","20956398"
"A630073D07RIK","381819","ENSMUSG00000067541","6","132625111","132651526"
"A630075F10RIK","","ENSMUSG00000097065","2","170061240","170070671"
"A630076J17RIK","319929","ENSMUSG00000094613","3","107230614","107234723"
"A630077J23RIK","","ENSMUSG00000086864","4","43756123","43759464"
"A630095E13RIK","235973","ENSMUSG00000070313","9","36635754","36643376"
"A630095N17RIK","381272","ENSMUSG00000096094","1","75220095","75232102"
"A730004F24RIK","","ENSMUSG00000103690","1","186511838","186558681"
"A730017C20RIK","225583","ENSMUSG00000050875","18","59062248","59076962"
